iter	Passed	Remaining
653	2232	1150
654	2236	1147
655	2239	1143
656	2243	1140
657	2246	1136
658	2250	1133
659	2253	1130
660	2257	1127
661	2260	1123
662	2264	1120
663	2268	1117
664	2271	1113
665	2275	1110
666	2278	1107
667	2282	1103
668	2285	1100
669	2289	1096
670	2292	1093
671	2295	1089
672	2299	1086
673	2302	1082
674	2305	1079
675	2309	1076
676	2312	1072
677	2315	1069
678	2319	1065
679	2322	1062
680	2325	1058
681	2329	1055
682	2333	1052
683	2336	1048
684	2340	1045
685	2343	1042
686	2347	1038
687	2350	1035
688	2354	1031
689	2358	1028
690	2362	1025
691	2365	1022
692	2369	1018
693	2372	1015
694	2376	1011
695	2379	1008
696	2383	1005
697	2386	1001
698	2389	998
699	2393	994
700	2396	991
701	2399	988
702	2403	984
703	2406	981
704	2410	977
705	2413	974
706	2416	970
707	2420	967
708	2424	964
709	2427	960
710	2430	957
711	2434	953
712	2437	950
713	2440	946
714	2444	943
715	2447	940
716	2451	936
717	2454	933
718	2457	929
719	2460	926
720	2463	922
721	2467	919
722	2471	916
723	2474	912
724	2477	909
725	2480	905
726	2484	902
727	2488	899
728	2491	895
729	2495	892
730	2498	888
731	2502	885
732	2505	881
733	2508	878
734	2512	874
735	2515	871
736	2519	868
737	2522	864
738	2525	861
739	2528	857
740	2532	854
741	2535	850
742	2538	847
743	2542	844
744	2545	840
745	2549	837
746	2552	833
747	2556	830
748	2560	827
749	2563	823
750	2566	820
751	2570	816
752	2573	813
753	2576	809
754	2580	806
755	2583	803
756	2586	799
757	2590	796
758	2593	792
759	2596	789
760	2600	785
761	2603	782
762	2607	779
763	2611	775
764	2614	772
765	2617	768
766	2622	765
767	2625	762
768	2629	759
769	2632	755
770	2636	752
771	2639	748
772	2642	745
773	2646	741
774	2649	738
775	2652	734
776	2656	731
777	2660	728
778	2663	724
779	2667	721
780	2670	718
781	2673	714
782	2677	711
783	2680	707
784	2684	704
785	2687	701
786	2691	697
787	2694	694
788	2698	690
789	2702	687
790	2705	684
791	2709	680
792	2712	677
793	2716	674
794	2719	670
795	2724	667
796	2727	664
797	2731	660
798	2734	657
799	2738	653
800	2742	650
801	2746	647
802	2749	643
803	2753	640
804	2756	636
805	2760	633
806	2763	630
807	2766	626
808	2770	623
809	2773	619
810	2776	616
811	2780	612
812	2783	609
813	2787	606
814	2790	602
815	2794	599
816	2797	595
817	2801	592
818	2804	589
819	2808	585
820	2811	582
821	2814	578
822	2818	575
823	2821	571
824	2824	568
825	2828	564
826	2831	561
827	2834	558
828	2837	554
829	2840	551
